약품명,카테고리,가격(원),제약회사,재고
안티푸라민 쿨파워 플라스타 10매입,⏹️ 파스,2950,유한양행,있음
류파프 카타플라스마 핫 6매입,⏹️ 파스,2450,종근당,있음
안티푸라민 쿨파워 플라스타 1박스(40매입),⏹️ 파스,8950,유한양행,있음
제놀 더블액션 카타플라스마 7매입,⏹️ 파스,2450,녹십자,있음
케팸 플라스타 10매입,⏹️ 파스,2450,종근당,있음
케팸 플라스타 40매입,⏹️ 파스,7900,종근당,있음
케팸 플라스타 롱 10매입,⏹️ 파스,2450,종근당,있음
케팸 플라스타 롱 1박스(40매입),⏹️ 파스,8950,종근당,있음
제놀 더블액션 카타플라스마 1박스(28매입),⏹️ 파스,7950,녹십자,있음
제놀 쿨 카타플라스마 5매입,⏹️ 파스,1950,녹십자,있음
제놀 하이드로24 카타플라스마 6매입,⏹️ 파스,2950,녹십자,있음
제놀 코인 플라스타 42매입,⏹️ 파스,3950,녹십자,있음
제놀 푸로탑 플라스타 15매입,⏹️ 파스,,녹십자,있음
제놀 코인 플라스타 1박스(84매입),⏹️ 파스,7450,녹십자,있음
제놀 푸로탑 플라스타 1박스(45매입),⏹️ 파스,7950,녹십자,있음
제놀 파워풀 플라스타 12매입,⏹️ 파스,2450,녹십자,있음
제놀 파워풀 플라스타 1박스(48매입),⏹️ 파스,7950,녹십자,있음
제놀 한방 카타플라스마 5매입,⏹️ 파스,2450,녹십자,있음
제놀 탑에스 카타플라스마 7매입,⏹️ 파스,2950,녹십자,있음
류파프 카타플라스마 쿨 6매입,⏹️ 파스,2950,종근당,있음
신신 디클로맥스겔 80g,⏹️ 파스,8950,신신제약,있음
신신 물파스에스 120ml,⏹️ 파스,,신신제약,있음
신신 물파스에스 90ml,⏹️ 파스,,신신제약,있음
제놀 록소 파워겔 60g,⏹️ 파스,7450,녹십자,있음
안티푸라민 연고 500g,⏹️ 파스,10900,유한양행,있음
제놀 푸로탑 플라스타 8매입,⏹️ 파스,,녹십자,있음
신신 아렉스 로션 100ml,⏹️ 파스,4450,신신제약,있음
안티푸라민 에스 로션 100ml,⏹️ 파스,2950,유한양행,있음
안티푸라민 연고 60g,⏹️ 파스,3450,유한양행,있음
케펜텍 Cool,⏹️ 파스,,,있음
케펜텍 HOT,⏹️ 파스,,,있음
메가트루 파워정 200정(100정*2),✨ 영양제,,,있음
메가비텐 액티브정 120정(60정*2),✨ 영양제,,,있음
메가트루 파워정 120정(60정*2),✨ 영양제,,,있음
유한양행 삐꼼씨 파워정 120정,✨ 영양제,,,있음
유한양행 삐꼼씨정 100정,✨ 영양제,,,있음
센트룸 실버 프로,✨ 영양제,,,있음
센트룸 맨 더블업,✨ 영양제,,,있음
센트룸 프로,✨ 영양제,,,있음
센트룸 실버 맨,✨ 영양제,,,있음
센트룸 실버 우먼,✨ 영양제,,,있음
